epoch0,train acc,17.5,test acc,7.641921397379912
0.605,VVS,VS1,VS2,SI1,SI2,Recall
VVS,84.0,796.0,483.0,36.0,1.0,0.06
VS1,35.0,374.0,274.0,17.0,0.0,0.5343
VS2,36.0,387.0,260.0,17.0,0.0,0.3714
SI1,50.0,356.0,277.0,17.0,0.0,0.0243
SI2,50.0,384.0,246.0,20.0,0.0,0.0
Precision,0.3294,0.1628,0.1688,0.1589,0.0,0.175
 
0.5699,VVS,VS1,VS2,SI1,SI2,Recall
VVS,0.0,1400.0,0.0,0.0,0.0,0.0
VS1,0.0,350.0,0.0,0.0,0.0,1.0
VS2,0.0,860.0,0.0,0.0,0.0,0.0
SI1,0.0,1310.0,0.0,0.0,0.0,0.0
SI2,0.0,660.0,0.0,0.0,0.0,0.0
Precision,nan,0.0764,nan,nan,nan,0.0764
 
 
 
